song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff,ec_count,hc_count,exh_count
61,"era (nostalmix)",HYPER,12.0,2.0,7.0,11.2,2405,1322,190
62,"era (nostalmix)",ANOTHER,12.1,4.0,8.8,12.7,2039,843,66
65,Holic,ANOTHER,12.4,6.5,10.2,13.6,1704,543,26
108,DXY!,HYPER,12.2,3.3,8.4,12.5,2456,1009,79
109,DXY!,ANOTHER,12.5,8.3,11.8,13.9,1075,196,9
114,"era (step mix)",ANOTHER,12.1,4.0,8.9,12.7,2019,822,66
132,minimalian,ANOTHER,12.5,7.8,9.8,12.0,1341,749,149
140,starmine,ANOTHER,12.1,2.3,6.5,10.7,2539,1708,303
143,"SWEET LAB",ANOTHER,12.2,4.0,8.2,12.5,1892,934,72
163,QQQ,HYPER,12.1,2.7,6.6,10.6,2467,1544,299
210,"Colors (radio edit)",ANOTHER,11.8,1.0,5.8,10.2,2874,1973,426
224,G2,ANOTHER,12.3,5.2,7.8,12.0,1955,1224,137
230,NEMESIS,ANOTHER,12.7,10.4,13.3,14.0,469,50,7
235,"route 80s",ANOTHER,12.0,2.4,8.1,11.8,2326,1065,143
240,"Summer Vacation(CU mix)",HYPER,12.0,1.3,7.0,11.5,2681,1514,181
250,A,ANOTHER,12.4,6.6,8.9,11.7,1684,960,172
261,"Cheer Train",ANOTHER,12.4,7.4,11.1,13.8,1312,281,14
288,Spica,ANOTHER,11.8,1.2,7.3,11.4,2721,1474,200
291,stoic,ANOTHER,12.0,1.7,7.3,11.3,2623,1452,209
302,"革命",HYPER,12.1,2.8,6.6,10.2,2443,1572,358
303,"革命",ANOTHER,12.3,5.2,8.4,11.7,1914,1010,146
352,"murmur twins",ANOTHER,12.0,1.3,5.7,9.8,2736,1985,501
381,"桜",ANOTHER,12.1,3.2,7.9,12.2,2109,1065,101
418,Karma,ANOTHER,12.4,6.4,8.3,11.3,1739,1138,224
430,"lower world",ANOTHER,12.1,2.3,5.7,9.5,2537,1961,601
439,moon_child,ANOTHER,12.4,7.3,10.4,13.0,1528,507,60
448,quasar,ANOTHER,12.6,9.9,11.8,13.6,676,203,27
456,"RISLIM -Remix-",ANOTHER,12.3,6.0,8.0,11.5,1801,1198,188
481,"1st Samurai",ANOTHER,12.1,3.2,7.6,11.0,2262,1325,270
524,"GHOST REVIVAL",ANOTHER,12.0,1.4,6.9,11.2,2627,1580,238
533,"Innocent Walls",ANOTHER,12.2,4.7,7.9,12.0,2236,1180,120
536,"Love Is Eternity",ANOTHER,12.2,4.5,5.8,9.2,2273,1942,648
547,No.13,ANOTHER,12.2,3.7,7.6,10.8,2501,1422,318
550,"One More Lovely",ANOTHER,12.4,7.3,9.6,12.6,1548,791,89
573,"雪月花",ANOTHER,12.3,4.4,7.0,11.0,2314,1582,279
576,AA,ANOTHER,12.3,4.4,7.4,10.4,2566,1554,421
591,BLOCKS,ANOTHER,12.1,1.7,6.0,10.1,2622,1870,460
610,"FAKE TIME",HYPER,11.8,1.3,2.6,8.3,2533,2315,722
