song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff
61,"era (nostalmix)",HYPER,12.0,1.9,7.0,11.2
62,"era (nostalmix)",ANOTHER,12.1,4.0,8.8,12.7
65,Holic,ANOTHER,12.4,6.5,10.2,13.6
108,DXY!,HYPER,12.2,3.2,8.4,12.5
109,DXY!,ANOTHER,12.5,8.3,11.8,13.9
114,"era (step mix)",ANOTHER,12.1,4.0,8.9,12.7
132,minimalian,ANOTHER,12.5,7.8,9.8,12.0
140,starmine,ANOTHER,12.1,2.3,6.5,10.7
143,"SWEET LAB",ANOTHER,12.2,3.9,8.2,12.5
163,QQQ,HYPER,12.1,2.7,6.6,10.6
210,"Colors (radio edit)",ANOTHER,11.8,0.9,5.8,10.2
224,G2,ANOTHER,12.3,5.2,7.8,12.0
230,NEMESIS,ANOTHER,12.7,10.4,13.3,14.0
235,"route 80s",ANOTHER,12.0,2.4,8.1,11.8
240,"Summer Vacation(CU mix)",HYPER,12.0,1.3,6.9,11.5
250,A,ANOTHER,12.4,6.5,8.9,11.7
261,"Cheer Train",ANOTHER,12.4,7.4,11.2,13.8
288,Spica,ANOTHER,11.8,1.2,7.2,11.4
291,stoic,ANOTHER,12.0,1.7,7.3,11.3
302,"革命",HYPER,12.1,2.8,6.6,10.2
303,"革命",ANOTHER,12.3,5.1,8.4,11.8
352,"murmur twins",ANOTHER,12.0,1.3,5.6,9.8
381,"桜",ANOTHER,12.1,3.2,7.9,12.2
418,Karma,ANOTHER,12.4,6.4,8.3,11.3
430,"lower world",ANOTHER,12.1,2.2,5.7,9.5
439,moon_child,ANOTHER,12.4,7.3,10.5,13.1
448,quasar,ANOTHER,12.6,10.0,11.8,13.7
456,"RISLIM -Remix-",ANOTHER,12.3,6.0,8.0,11.5
481,"1st Samurai",ANOTHER,12.1,3.1,7.6,11.0
524,"GHOST REVIVAL",ANOTHER,12.0,1.4,6.9,11.2
533,"Innocent Walls",ANOTHER,12.2,4.6,7.9,12.0
536,"Love Is Eternity",ANOTHER,12.2,4.5,5.8,9.2
547,No.13,ANOTHER,12.2,3.7,7.6,10.8
550,"One More Lovely",ANOTHER,12.4,7.3,9.6,12.6
573,"雪月花",ANOTHER,12.3,4.4,7.0,11.0
576,AA,ANOTHER,12.3,4.3,7.4,10.4
591,BLOCKS,ANOTHER,12.1,1.7,6.0,10.1
610,"FAKE TIME",HYPER,11.8,1.3,2.4,8.3
611,"FAKE TIME",ANOTHER,12.2,4.2,6.9,11.3
615,GENOCIDE,HYPER,12.3,5.3,9.5,12.5
616,GENOCIDE,ANOTHER,12.5,8.1,10.9,13.5
618,gigadelic,HYPER,12.1,2.3,6.0,10.3
619,gigadelic,ANOTHER,12.2,4.0,5.7,9.6
