song_id,name,difficulty,level,unofficial_diff
00001-5-1,"20,November (6th)",HYPER,10,9.6
00001-7-1,"20,November (6th)",ANOTHER,9,9.3
00004-5-1,"5.1.1. (HSKY)",HYPER,7,7.0
00004-7-0,5.1.1.,ANOTHER,10,10.0
00018-7-0,GAMBOL,ANOTHER,9,11.6
00019-5-1,"GRADIUSIC CYBER (2nd)",HYPER,9,9.6
00019-7-1,"GRADIUSIC CYBER (2nd)",ANOTHER,9,10.0
00024-5-0,"LUV TO ME (disco mix)",HYPER,8,8.0
00024-7-1,"LUV TO ME (disco mix) (6th)",ANOTHER,11,11.8
00031-5-0,"Prince on a star",HYPER,8,8.5
00031-7-0,"Prince on a star",ANOTHER,10,10.2
00033-7-0,R3,ANOTHER,8,9.3
00036-5-0,"Special energy",HYPER,9,9.0
00036-7-0,"Special energy",ANOTHER,7,6.5
01002-7-0,"deep in you",ANOTHER,7,8.0
01003-7-0,"GENOM SCREAMS",ANOTHER,9,9.6
01004-7-0,"gentle stress",ANOTHER,9,9.0
01006-5-0,"Macho Gang",HYPER,11,11.8
01006-7-0,"Macho Gang",ANOTHER,11,11.8
01008-7-0,"PARANOIA MAX (DIRTY MIX)",ANOTHER,9,9.3
01009-7-0,"RUGGED ASH",ANOTHER,9,9.0
01009-9-0,"RUGGED ASH",LEGGENDARIA,12,12.2
01010-5-0,"THE EARTH LIGHT",HYPER,10,10.5
01010-7-0,"THE EARTH LIGHT",ANOTHER,7,8.0
02001-7-0,.59,ANOTHER,7,7.5
02004-5-0,"Brazilian Rhyme",HYPER,7,9.3
02006-5-0,"Digital MinD (A/T Libra mix)",HYPER,8,9.3
02007-5-0,"dong-tepo no.1",HYPER,7,9.6
02008-5-0,"Electro Tuned (the subs mix)",HYPER,9,8.5
02012-5-0,"I Was The One",HYPER,8,5.9
02015-5-0,"Indigo Vision (full flavor hide around mix)",HYPER,8,9.0
02023-5-0,"PUT YOUR FAITH IN ME (for beatmania II)",HYPER,7,8.0
02027-5-0,"Shine On",HYPER,9,9.0
03004-5-0,"CAN'T STOP FALLIN' IN LOVE",HYPER,7,8.0
03009-5-0,"END OF THE CENTURY",HYPER,8,8.5
03010-5-0,"era (nostal mix)",HYPER,12,12.0
03010-7-0,"era (nostal mix)",ANOTHER,12,12.1
03015-5-0,Holic,HYPER,10,10.7
03015-7-0,Holic,ANOTHER,12,12.4
03022-5-0,Presto,HYPER,8,8.5
03023-5-0,R5,HYPER,8,8.5
03023-7-0,R5,ANOTHER,11,11.8
03025-7-0,REINCARNATION,ANOTHER,7,8.0
03027-5-0,"S.O.S. (THE TIGER TOOK MY FAMILY)",HYPER,7,8.0
03028-5-0,Schlagwerk,HYPER,11,11.6
